m_xmin,m_xmax,m_ymin,m_ymax,m_width,m_height,m_size,m_wh_ratio,h_xmin,h_xmax,h_ymin,h_ymax,h_width,h_height,h_size,h_wh_ratio,x_min_diff,x_max_diff,y_min_diff,y_max_diff,width_ratio,height_ratio,size_ratio,name,real_dist,pred_dist
25.705585479736328,250.4525146484375,508.4971618652344,1383.4044189453125,224.74692916870117,874.9072570800781,196632.71933615895,0.256880860628329,772.9406127929688,994.5036010742188,7.277777194976807,49.15568923950195,221.56298828125,41.87791204452515,9278.595335564343,5.2906885148830085,747.2350273132324,744.0510864257812,501.21938467025757,1334.2487297058105,0.9858332173915435,0.047865544268416285,0.04718744350833018,-0.532,-0.02,2.2724082934609164
-0.38009047508239746,450.8087158203125,1131.7801513671875,1923.58984375,451.1888062953949,791.8096923828125,357255.66991932504,0.5698197567367751,710.0594482421875,881.982421875,1023.779541015625,1158.632080078125,171.9229736328125,134.8525390625,23184.249517560005,1.2748960815126475,710.4395387172699,431.1737060546875,108.0006103515625,764.957763671875,0.3810444125252831,0.17030928057559502,0.06489539976453121,150.079,3.0,0.7264052287581727
97.61543273925781,698.1781005859375,298.4440612792969,1381.4647216796875,600.5626678466797,1083.0206604003906,650421.7771431315,0.5545255873739775,47.221534729003906,176.65528869628906,44.813720703125,208.62997436523438,129.43375396728516,163.81625366210938,21203.35267234384,0.7901154560295205,50.393898010253906,521.5228118896484,253.63034057617188,1172.8347473144531,0.2155208122265916,0.151258659831611,0.03259938922321453,150.105,3.0,0.7264052287581727
581.3125610351562,1028.974853515625,301.125,841.3572998046875,447.66229248046875,540.2322998046875,241841.6298025623,0.8286477736379592,682.2263793945312,828.5166625976562,149.855224609375,267.522705078125,146.290283203125,117.66748046875,17213.609041571617,1.2432515986604864,100.913818359375,200.45819091796875,151.269775390625,573.8345947265625,0.32678714660674163,0.21780904346387808,0.07117719581870449,-0.5309999999999999,-0.02,1.8422077922077862
256.14166259765625,674.15673828125,307.70782470703125,746.5799560546875,418.01507568359375,438.87213134765625,183455.16720071062,0.9524757801320941,272.0016174316406,753.0267944335938,1011.5054931640625,1558.578857421875,481.0251770019531,547.0733642578125,263156.06187516823,0.8792699634619139,15.859954833984375,78.87005615234375,703.7976684570312,811.9989013671875,1.1507364326880243,1.246543868205757,1.4344434440882234,100.144,2.0,3.8646376811594156
151.39671325683594,578.9072265625,214.6124267578125,930.3095703125,427.51051330566406,715.6971435546875,305968.053212462,0.597334385299244,556.8062744140625,1081.44921875,0.001430511474609375,358.34893798828125,524.6429443359375,358.34750747680664,188004.4914180762,1.4640619325917705,405.40956115722656,502.5419921875,214.6109962463379,571.9606323242188,1.2272047774432744,0.5006971324448563,0.6144579129884755,150.106,3.0,3.8646376811594156
701.9959716796875,830.5888061523438,945.5325317382812,1077.004150390625,128.59283447265625,131.47161865234375,16906.308095213026,0.978103379199278,677.381103515625,837.5090942382812,146.17086791992188,271.28887939453125,160.12799072265625,125.11801147460938,20034.89578064345,1.2798156623129482,24.6148681640625,6.9202880859375,799.3616638183594,805.7152709960938,1.2452326086389018,0.9516731653351321,1.1850544582419076,50.1,1.0,11.236363636363636
586.69921875,745.2118530273438,920.0701293945312,1096.9464111328125,158.51263427734375,176.87628173828125,28037.12535951659,0.896178010525404,675.1255493164062,863.28759765625,88.65875244140625,222.434326171875,188.16204833984375,133.77557373046875,25171.485970962793,1.4065501129447815,88.42633056640625,118.07574462890625,831.411376953125,874.5120849609375,1.1870476394368887,0.7563228512933838,0.8977912552799883,80.195,1.6,6.771428571428574
184.4835205078125,721.1155395507812,1054.731689453125,1572.663330078125,536.6320190429688,517.931640625,277938.70203483105,1.0361058814545536,655.2408447265625,927.5051879882812,83.6820297241211,332.63916015625,272.26434326171875,248.9571304321289,67782.14961742563,1.0936193825384082,470.75732421875,206.3896484375,971.0496597290039,1240.024169921875,0.5073576186290111,0.48067565467077206,0.24387445548670378,40.069,0.8,1.3414951989026038
612.4426879882812,1082.5181884765625,1038.105712890625,1923.9644775390625,470.07550048828125,885.8587646484375,416420.5021540448,0.5306438444223507,656.709716796875,895.1280517578125,104.99630737304688,262.0773620605469,238.4183349609375,157.0810546875,37451.00351250172,1.517804520954175,44.26702880859375,187.39013671875,933.1094055175781,1661.8871154785156,0.5071915781896427,0.17732065308383474,0.08993554188320826,60.085,1.2,0.7264052287581727
585.9088745117188,1041.5985107421875,221.82904052734375,984.953369140625,455.68963623046875,763.1243286132812,347747.8477044068,0.5971368218053401,666.61669921875,883.6590576171875,108.0518569946289,254.05465698242188,217.0423583984375,146.00279998779297,31688.792042125948,1.4865629865768604,80.70782470703125,157.939453125,113.77718353271484,730.8987121582031,0.4762942607030601,0.19132242874906552,0.09112577475695005,70.027,1.4,0.7264052287581727
18.131078720092773,299.9309387207031,353.60986328125,1089.9014892578125,281.79986000061035,736.2916259765625,207486.87711981707,0.3827285956523707,662.1050415039062,915.3469848632812,84.52071380615234,333.3015441894531,253.241943359375,248.78083038330078,63001.740956826136,1.0179319000149687,643.9739627838135,615.4160461425781,269.08914947509766,756.5999450683594,0.8986588685985384,0.33788355266615505,0.30364205115702153,80.203,1.6,2.277504725897917
352.91302490234375,528.759521484375,725.643798828125,976.8546142578125,175.84649658203125,251.2108154296875,44174.541796825826,0.6999957238355834,649.0423583984375,930.2991333007812,98.93368530273438,265.0097351074219,281.25677490234375,166.0760498046875,46710.01415658742,1.6935420563838897,296.12933349609375,401.53961181640625,626.7101135253906,711.8448791503906,1.5994448588353836,0.6611023077195944,1.057396687246313,90.081,1.8,6.560384615384611
